url,approximate_value,number_drafted,position,year_drafted
/players/A/AbbrJa00.htm,1,176,WR,2014
/players/A/AbduKa00.htm,24,80,RB,1996
/players/A/AbduAm00.htm,13,54,RB,2015
/players/A/AbduHa20.htm,4,231,DB,2005
/players/A/AbduKh20.htm,1,136,LB,2003
/players/A/AbduRa20.htm,6,45,LILB,1999
/players/A/AberWa00.htm,32,12,RB,1982
/players/A/AbiaVi99.htm,5,57,DE,2007
/players/A/AbouOd00.htm,17,141,OT,2013
/players/A/AbraCl20.htm,0,143,DB,1995
/players/A/AbraDo00.htm,59,71,DB,1996
/players/A/AbraJo00.htm,91,13,DE,2000
/players/A/AbraRo20.htm,22,77,LB,1982
/players/A/AbraJo01.htm,6,27,S,2019
/players/A/AbraSi20.htm,0,113,T,1983
/players/A/AbraKe20.htm,4,54,DB,1997
/players/A/AbshDi20.htm,13,125,MLB,1967
/players/A/AchiGe20.htm,0,57,DT,1983
/players/A/AchoEm00.htm,2,204,OLB,2012
/players/A/AchoSa00.htm,30,103,ROLB,2011
/players/A/AckeBi20.htm,6,142,NT,1980
/players/A/AckeKe00.htm,5,180,CB,2014
/players/A/AckeTo20.htm,12,145,G,1996
/players/A/AcksRo20.htm,26,57,RLB,1966
/players/A/AcorFr20.htm,0,57,DB,1984
/players/A/AdamMi01.htm,11,120,RB,1971
/players/A/AdamAn20.htm,32,57,DT,2003
/players/A/AdamBi20.htm,0,161,G,1972
/players/A/AdamBl20.htm,3,220,DB,2003
/players/A/AdamBr20.htm,17,185,T,1975
/players/A/AdamCu00.htm,6,207,RB,1985
/players/A/AdamDa01.htm,54,53,WR,2014
/players/A/AdamDo20.htm,14,165,MLB,1971
/players/A/AdamFl00.htm,88,38,T,1998
/players/A/AdamGa99.htm,17,4,DE,2007
/players/A/AdamGe00.htm,13,19,RB,1985
/players/A/AdamJa00.htm,42,6,SS,2017
/players/A/AdamJe01.htm,2,184,TE,2016
/players/A/AdamJo01.htm,0,104,WR,2012
/players/A/AdamJo00.htm,4,57,E,1959
/players/A/AdamJu00.htm,63,27,DE,1971
/players/A/AdamKe20.htm,15,232,MLB,2001
/players/A/AdamMa00.htm,10,221,LB,2018
/players/A/AdamMi20.htm,0,67,DB,1987
/players/A/AdamMi00.htm,0,223,WR,1997
