url,approximate_value,number_drafted,position
/players/A/AaitIs00.htm,0,-1,NT
/players/A/AbbeJo20.htm,-1,-1,E
/players/A/AbboFa20.htm,-1,-1,BB
/players/A/abbotvin01.htm,3,-1,K
/players/A/AbbrJa00.htm,1,-1,WR
/players/A/AbbrDu20.htm,-1,-1,HB
/players/A/AbdeMe00.htm,0,-1,DE
/players/A/AbduKa00.htm,24,-1,RB
/players/A/AbduIs00.htm,10,-1,S
/players/A/AbduAm00.htm,13,54,RB
/players/A/AbduHa20.htm,4,-1,DB
/players/A/AbduHu99.htm,20,-1,DB
/players/A/AbduKh20.htm,1,-1,LB
/players/A/AbduRa00.htm,3,-1,RB
/players/A/AbduRa20.htm,6,45,LILB
/players/A/AbelFr20.htm,-1,-1,BB
/players/A/AbelBu20.htm,13,-1,LB
/players/A/AberWa00.htm,32,-1,RB
/players/A/AberCl20.htm,-1,-1,TB
/players/A/AbiaVi99.htm,5,57,DE
/players/A/AbouOd00.htm,17,-1,OT
/players/A/AbraCl20.htm,0,-1,DB
/players/A/AbraDo00.htm,59,-1,DB
/players/A/AbraJo00.htm,91,-1,DE
/players/A/AbraRo20.htm,22,-1,LB
/players/A/AbraJo01.htm,6,-1,S
/players/A/AbraDa00.htm,50,-1,E
/players/A/AbraSi20.htm,0,-1,T
/players/A/AbraBo20.htm,5,-1,LB
/players/A/AbraDe00.htm,0,-1,DB
/players/A/AbraKe20.htm,4,54,DB
/players/A/AbraNa20.htm,-1,-1,E
/players/A/AbraGe20.htm,-1,-1,G
/players/A/AbreDi20.htm,-1,-1,BB
/players/A/AbruRa20.htm,17,-1,B
/players/A/AbruFr20.htm,-1,-1,BB
/players/A/AbshDi20.htm,13,-1,MLB
/players/A/AcheSt20.htm,0,-1,LB
/players/A/AchiGe20.htm,0,-1,DT
/players/A/AchiSn20.htm,-1,-1,WB
/players/A/AchoEm00.htm,2,-1,OLB
/players/A/AchoSa00.htm,30,-1,ROLB
/players/A/AckeBi20.htm,6,-1,NT
/players/A/AckeKe00.htm,5,-1,CB
/players/A/AckeRi20.htm,10,-1,NT
/players/A/AckeTo20.htm,12,-1,G
/players/A/AcksRo20.htm,26,-1,RLB
