url,approximate_value,number_drafted,position
/players/A/AbbrJa00.htm,1,176,WR
/players/A/AbduKa00.htm,24,80,RB
/players/A/AbduAm00.htm,13,54,RB
/players/A/AbduHa20.htm,4,231,DB
/players/A/AbduKh20.htm,1,136,LB
/players/A/AbduRa20.htm,6,45,LILB
/players/A/AberWa00.htm,32,12,RB
/players/A/AbiaVi99.htm,5,57,DE
/players/A/AbouOd00.htm,17,141,OT
/players/A/AbraCl20.htm,0,143,DB
/players/A/AbraDo00.htm,59,71,DB
/players/A/AbraJo00.htm,91,13,DE
/players/A/AbraRo20.htm,22,77,LB
/players/A/AbraJo01.htm,6,27,S
/players/A/AbraSi20.htm,0,113,T
/players/A/AbraKe20.htm,4,54,DB
/players/A/AbshDi20.htm,13,125,MLB
/players/A/AchiGe20.htm,0,57,DT
/players/A/AchoEm00.htm,2,204,OLB
/players/A/AchoSa00.htm,30,103,ROLB
/players/A/AckeBi20.htm,6,142,NT
/players/A/AckeKe00.htm,5,180,CB
/players/A/AckeTo20.htm,12,145,G
/players/A/AcksRo20.htm,26,57,RLB
/players/A/AcorFr20.htm,0,57,DB
/players/A/AdamMi01.htm,11,120,RB
/players/A/AdamAn20.htm,32,57,DT
/players/A/AdamBi20.htm,0,161,G
/players/A/AdamBl20.htm,3,220,DB
/players/A/AdamBr20.htm,17,185,T
/players/A/AdamCu00.htm,6,207,RB
/players/A/AdamDa01.htm,54,53,WR
/players/A/AdamDo20.htm,14,165,MLB
/players/A/AdamFl00.htm,88,38,T
/players/A/AdamGa99.htm,17,4,DE
/players/A/AdamGe00.htm,13,19,RB
/players/A/AdamJa00.htm,42,6,SS
/players/A/AdamJe01.htm,2,184,TE
/players/A/AdamJo01.htm,0,104,WR
/players/A/AdamJo00.htm,4,57,E
/players/A/AdamJu00.htm,63,27,DE
/players/A/AdamKe20.htm,15,232,MLB
/players/A/AdamMa00.htm,10,221,LB
/players/A/AdamMi20.htm,0,67,DB
/players/A/AdamMi00.htm,0,223,WR
/players/A/AdamMi02.htm,10,56,OT
/players/A/AdamMo00.htm,5,93,DT
/players/A/AdamPe20.htm,13,22,G
/players/A/AdamPh00.htm,0,224,DB
/players/A/AdamRo01.htm,0,170,WR
/players/A/AdamSa00.htm,76,8,DT
/players/A/AdamSt21.htm,0,80,DB
/players/A/AdamTi00.htm,0,220,DT
/players/A/AdamWi00.htm,9,20,WR
/players/A/AddaJo00.htm,50,30,RB
/players/A/AddeHe00.htm,120,10,DB
/players/A/AddeNa00.htm,6,60,S
/players/A/AdenHa00.htm,3,180,OL
/players/A/AdeyVi20.htm,13,113,DE
/players/A/AdibXa99.htm,4,118,MLB
/players/A/AdicJo20.htm,0,154,C
/players/A/AdicMa20.htm,23,5,G
/players/A/AdkiMa00.htm,3,49,WR
/players/A/AdkiSp99.htm,2,176,LB
/players/A/AfalAl99.htm,5,190,DB
/players/A/AffhEr00.htm,1,110,WR
/players/A/AgeeMe20.htm,8,152,DE
/players/A/AgeeTo00.htm,6,119,RB
/players/A/AghoNe00.htm,27,20,WR
/players/A/AgimMc00.htm,1,95,DL
/players/A/AgneJa00.htm,6,165,WR
/players/A/AgneRa20.htm,41,10,DT
/players/A/AguaRo00.htm,0,59,K
/players/A/AhYoC.00.htm,4,239,DE
/players/A/AhanCh20.htm,57,145,DE
/players/A/AhreDa20.htm,26,143,MLB
/players/A/AikeSa00.htm,7,127,WR
/players/A/AikeWa00.htm,1,125,CB
/players/A/AikmTr00.htm,97,1,QB
/players/A/AiyuBr00.htm,6,25,WR
/players/A/AjayJa00.htm,19,149,RB
/players/A/AkbaHa20.htm,0,163,LB
/players/A/AkerCa00.htm,4,52,RB
/players/A/AkinHa20.htm,0,67,T
/players/A/AkinCh20.htm,2,212,DB
/players/A/AkinJo00.htm,9,98,TE
/players/A/AkiuMi20.htm,0,170,WR
/players/A/AlabAn20.htm,1,162,T
/players/A/AlamIk99.htm,2,58,DE
/players/A/AlbeBr20.htm,47,15,G
/players/A/AlbeSe20.htm,0,189,K
/players/A/AlbeTr20.htm,4,5,LB
/players/A/AlbrTe20.htm,34,15,T
/players/A/AldrAl21.htm,41,51,LB
/players/A/AldrJe20.htm,0,119,RB
/players/A/AldrLi20.htm,62,54,DE
/players/A/AlexKe20.htm,0,243,G
/players/A/AlexSt20.htm,0,209,G
/players/A/AlexCh00.htm,27,12,RB
/players/A/AlexD.00.htm,7,172,OLB
/players/A/AlexDa20.htm,79,200,G
/players/A/AlexDa21.htm,0,192,RB
/players/A/AlexDa22.htm,55,121,C
/players/A/AlexDe00.htm,56,29,WR
