,position,year_drafted,counts,av_mean,draft_mean
0,B,1952,1,5.0,8.0
1,B,1980,1,0.0,95.0
2,C,1953,1,92.0,80.0
3,C,1954,3,19.333333333333332,11.0
4,C,1955,3,24.333333333333332,26.333333333333332
5,C,1956,2,40.5,31.0
6,C,1957,2,10.5,88.0
7,C,1959,1,39.0,74.0
8,C,1960,3,18.333333333333332,50.666666666666664
9,C,1961,5,44.2,78.0
10,C,1963,3,26.0,20.333333333333332
11,C,1964,6,41.666666666666664,67.0
12,C,1965,5,36.2,40.0
13,C,1966,2,25.0,64.0
14,C,1967,3,10.0,51.0
15,C,1968,4,57.5,73.0
16,C,1969,5,40.4,141.8
17,C,1970,8,32.5,139.25
18,C,1971,5,5.6,95.2
19,C,1972,4,52.75,99.5
20,C,1973,4,24.0,100.0
21,C,1974,4,33.75,94.25
22,C,1975,5,3.0,107.6
23,C,1976,5,49.0,107.6
24,C,1977,5,41.0,86.4
25,C,1978,6,31.833333333333332,108.83333333333333
26,C,1979,3,0.0,101.33333333333333
27,C,1980,8,26.25,121.5
28,C,1981,2,12.5,98.5
29,C,1982,4,21.5,120.25
30,C,1983,10,25.2,114.4
31,C,1984,5,38.8,148.0
32,C,1985,11,19.363636363636363,101.18181818181819
33,C,1986,8,6.5,135.0
34,C,1987,3,25.333333333333332,102.33333333333333
35,C,1988,4,37.25,105.5
36,C,1989,6,49.166666666666664,57.0
37,C,1990,6,36.0,122.66666666666667
38,C,1991,4,5.0,116.75
39,C,1992,5,20.4,98.2
40,C,1993,5,16.8,124.6
41,C,1994,4,82.5,98.75
42,C,1995,7,27.714285714285715,104.42857142857143
43,C,1996,9,23.555555555555557,133.11111111111111
44,C,1997,3,22.333333333333332,94.0
45,C,1998,11,34.09090909090909,147.63636363636363
46,C,1999,3,49.333333333333336,108.66666666666667
47,C,2000,2,38.5,144.0
48,C,2001,8,22.75,150.375
49,C,2002,6,15.0,147.66666666666666
50,C,2003,5,30.0,99.6
51,C,2004,6,24.5,142.5
52,C,2005,7,20.571428571428573,136.14285714285714
53,C,2006,3,35.333333333333336,98.0
54,C,2007,5,32.2,100.6
55,C,2008,7,22.0,152.57142857142858
56,C,2009,7,37.57142857142857,100.71428571428571
57,C,2010,7,21.285714285714285,154.28571428571428
58,C,2011,4,45.25,157.5
59,C,2012,5,13.8,137.4
60,C,2013,6,14.833333333333334,132.16666666666666
61,C,2014,8,23.5,139.625
62,C,2015,5,16.8,139.0
63,C,2016,6,19.0,120.83333333333333
64,C,2017,4,16.5,142.5
65,C,2018,9,11.444444444444445,104.0
66,CB,2010,1,0.0,223.0
67,CB,2011,5,38.4,77.0
68,CB,2012,28,14.107142857142858,131.67857142857142
69,CB,2013,27,19.74074074074074,102.88888888888889
70,CB,2014,33,11.93939393939394,131.8181818181818
71,CB,2015,26,12.384615384615385,114.03846153846153
72,CB,2016,31,12.451612903225806,116.38709677419355
73,CB,2017,27,10.444444444444445,104.70370370370371
74,CB,2018,26,5.6923076923076925,117.61538461538461
75,CB,2019,29,3.4482758620689653,129.82758620689654
76,CB,2020,25,2.28,112.8
77,DB,1950,1,0.0,103.0
78,DB,1952,3,27.0,21.333333333333332
79,DB,1953,5,10.0,65.8
80,DB,1954,5,16.6,73.8
81,DB,1955,8,17.5,45.125
82,DB,1956,8,19.375,57.125
83,DB,1957,8,11.75,50.625
84,DB,1958,13,33.30769230769231,54.30769230769231
85,DB,1959,10,42.4,50.1
86,DB,1960,12,42.666666666666664,48.333333333333336
87,DB,1961,17,31.0,68.11764705882354
88,DB,1962,9,15.555555555555555,55.55555555555556
89,DB,1963,15,26.4,54.06666666666667
90,DB,1964,13,31.76923076923077,60.61538461538461
91,DB,1965,16,21.875,80.875
92,DB,1966,12,15.5,64.0
93,DB,1967,28,30.178571428571427,110.28571428571429
94,DB,1968,21,20.61904761904762,120.0
95,DB,1969,24,23.333333333333332,106.20833333333333
96,DB,1970,25,31.84,112.08
97,DB,1971,31,23.806451612903224,97.16129032258064
98,DB,1972,26,24.5,101.38461538461539
99,DB,1973,25,23.4,119.0
100,DB,1974,16,19.3125,127.5625
101,DB,1975,27,31.62962962962963,105.4074074074074
102,DB,1976,33,23.454545454545453,134.63636363636363
103,DB,1977,26,23.0,121.92307692307692
104,DB,1978,26,21.384615384615383,105.88461538461539
105,DB,1979,26,13.76923076923077,133.80769230769232
106,DB,1980,30,26.433333333333334,99.4
